symbol,coverage_end,continuity_status,missing_session_count,missing_session_dates,verified_through,last_checked,reason_code
0050.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
0056.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
006208.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
00878.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
00919.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
00929.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
009816.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
009819.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
00981A.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
00982A.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
00991A.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
1303.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2059.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2301.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2308.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2317.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2327.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2330.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2344.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2382.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2395.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2408.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2409.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
2412.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2454.TW,2026-08-28,complete,0,[],2026-08-28,2026-08-28T08:21:36.229Z,""
2603.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2615.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2801.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2834.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2881.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2882.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
2891.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
3008.TW,2026-08-28,complete,0,[],2026-08-28,2026-08-28T08:24:56.462Z,""
3026.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3037.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3055.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3081.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
3149.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3163.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
3189.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3231.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3363.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
3441.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
3481.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
3680.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
3711.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
4768.TWO,2026-08-28,complete,0,[],2026-08-28,2026-08-28T08:21:36.361Z,""
4958.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
6505.TW,2026-08-27,unknown,0,[],"","",continuity_unverified
8027.TWO,2026-08-28,unknown,0,[],"","",continuity_unverified
8046.TW,2026-08-28,unknown,0,[],"","",continuity_unverified
